,Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,fee,transfer_period,Target
694,Alexander Sørloth,Real Sociedad,26,95,26.5,12,63,27,42.9,2.38,1.02,0.19,0.44,11.3,0,0,0,12.7,12.7,0.20,-0.7,-0.7,La Liga,18,9,3,6,9,7,14,50.0,7,15,1,14,2,20,26,1,Forward,68.4,4213,567,78.1,66.7,56.3,3,4.2,1.9,31,11,10,2,20,1.91,38,20,+18,0.68,+0.85,37.3,20.3,+17.0,+0.64,+0.40,alexander-sorloth95,Norway,Centre-Forward,left,195.0,12000000,1500000.0,Summer,23.054999999999996
695,Beñat Turrientes,Real Sociedad,20,02,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,3,3,3,0,0,1,5,20.0,4,2,0,2,0,3,3,0,Midfielder,85.1,707,113,87.0,100.0,55.6,0,0.2,0.0,2,3,0,0,2,1.50,1,2,-1,-0.85,-1.31,0.9,2.3,-1.4,-1.17,-1.75,benat-turrientes02,Spain,Central Midfield,right,181.0,2000000,0.0,Summer,-0.6720000000000003
696,Luca de la Torre,Celta Vigo,24,98,16.5,0,17,3,17.6,1.03,0.18,0.00,0.00,19.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1,La Liga,28,19,11,14,3,12,32,37.5,20,22,1,21,9,37,6,0,Midfielder,83.2,7305,1296,93.0,87.4,53.8,2,1.3,1.3,13,51,7,2,62,1.32,22,17,+5,0.3,+1.00,18.1,19.4,-1.3,-0.08,-0.01,luca-de-la-torre98,United States,Central Midfield,right,177.0,3000000,2000000.0,Summer,-0.6599999999999969
697,Óscar Mingueza,Celta Vigo,23,99,14.3,0,5,0,0.0,0.35,0.00,0.00,,12.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,La Liga,37,21,27,9,1,25,32,78.1,7,10,4,6,12,49,25,0,Defender,79.4,12216,4925,90.7,84.3,46.0,0,1.4,1.3,11,70,13,4,69,1.14,15,20,-5,-0.35,-0.14,17.2,16.0,+1.2,+0.08,+0.25,oscar-mingueza99,Spain,Centre-Back,right,184.0,3000000,0.0,Summer,-9.152
698,Unai Núñez,Celta Vigo,25,97,35.0,0,15,5,33.3,0.43,0.14,0.00,0.00,14.4,0,0,0,1.2,1.2,0.08,-1.2,-1.2,La Liga,47,35,29,15,3,18,34,52.9,16,27,17,10,72,119,135,1,Defender,86.2,35775,12950,90.6,91.8,64.2,0,0.1,0.4,5,131,2,1,146,1.19,41,48,-7,-0.2,+0.80,37.8,41.9,-4.1,-0.12,-0.55,unai-nunez97,Spain,Centre-Back,right,186.0,6000000,0.0,Summer,-17.15
699,Gonçalo Paciência,Celta Vigo,27,94,7.4,2,30,10,33.3,4.08,1.36,0.07,0.20,17.2,1,0,0,1.9,1.9,0.06,+0.1,+0.1,La Liga,8,5,0,5,3,2,7,28.6,5,9,1,8,0,8,4,0,Forward,58.3,1609,391,64.7,64.6,50.0,0,0.6,0.5,6,10,5,2,11,0.92,7,7,0,0.0,+0.33,10.0,8.6,+1.4,+0.19,+0.33,goncalo-paciencia94,Portugal,Centre-Forward,right,184.0,2500000,0.0,Summer,-0.36999999999999855
700,Carles Pérez,Celta Vigo,24,98,23.8,3,54,20,37.0,2.27,0.84,0.06,0.15,21.8,0,0,0,2.7,2.7,0.05,+0.3,+0.3,La Liga,39,23,12,17,10,22,66,33.3,44,29,3,26,6,45,9,0,Midfielder,81.9,8850,1735,88.2,84.2,59.0,5,2.0,1.7,23,33,19,3,66,1.14,26,26,0,0.0,+0.71,25.3,28.2,-2.9,-0.12,-0.13,carles-perez98,Spain,Right Winger,left,173.0,5000000,1000000.0,Summer,-8.091999999999995
701,Haris Seferović,Celta Vigo,30,92,9.9,3,13,7,53.8,1.32,0.71,0.23,0.43,11.0,0,0,0,1.8,1.8,0.14,+1.2,+1.2,La Liga,6,3,1,4,1,3,8,37.5,5,7,1,6,1,7,6,1,Forward,61.5,1847,367,69.2,60.6,36.8,1,0.5,0.6,6,11,4,0,17,1.11,14,11,+3,0.3,+0.77,11.4,15.5,-4.1,-0.41,-0.46,haris-seferovic92,Switzerland,Centre-Forward,left,189.0,6000000,0.0,Winter,2.475000000000002
702,Jørgen Strand Larsen,Celta Vigo,22,00,18.9,4,41,15,36.6,2.16,0.79,0.10,0.27,12.6,0,0,0,5.6,5.6,0.14,-1.6,-1.6,La Liga,15,7,3,5,7,7,30,23.3,23,14,5,9,3,18,24,0,Forward,68.4,3020,423,72.4,66.3,63.2,4,2.0,1.1,12,14,3,1,14,1.09,25,32,-7,-0.37,-0.21,21.8,20.4,+1.4,+0.07,+0.29,jorgen-strand-larsen00,Norway,Centre-Forward,right,193.0,11000000,11000000.0,Summer,-7.937999999999996
703,Williot Swedberg,Celta Vigo,18,04,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,3,1,1,0,2,0,0,,0,2,0,2,0,3,1,0,Midfielder,82.4,176,50,80.0,80.0,,0,0.0,0.1,0,1,2,0,4,0.25,0,0,0,0.0,+0.27,0.7,0.2,+0.5,+0.83,+0.92,williot-swedberg04,Sweden,Attacking Midfield,right,187.0,4000000,5000000.0,Summer,-0.20399999999999988
704,Álvaro Odriozola,Real Madrid,26,95,0.4,0,1,0,0.0,2.31,0.00,0.00,,13.7,0,0,0,0.2,0.2,0.24,-0.2,-0.2,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Defender,96.4,376,108,95.0,100.0,100.0,0,0.3,0.1,2,1,1,1,2,3.00,2,0,+2,4.62,+3.63,1.7,0.2,+1.5,+3.56,+2.62,alvaro-odriozola95,Spain,Right-Back,right,176.0,5000000,0.0,Summer,1.8080000000000003
705,Antonio Rüdiger,Real Madrid,29,93,26.8,1,22,4,18.2,0.82,0.15,0.05,0.25,14.8,0,0,0,1.8,1.8,0.08,-0.8,-0.8,La Liga,18,16,12,5,1,14,23,60.9,9,23,13,10,19,37,74,0,Defender,91.9,26566,8924,95.8,95.2,71.2,0,0.1,0.9,2,75,6,0,59,2.00,44,25,+19,0.71,-1.08,51.1,27.2,+23.8,+0.89,-0.25,antonio-rudiger93,Germany,Centre-Back,right,190.0,40000000,0.0,Summer,16.348
706,Aurélien Tchouaméni,Real Madrid,22,00,23.5,0,38,6,15.8,1.61,0.25,0.00,0.00,22.1,0,0,0,1.8,1.8,0.05,-1.8,-1.8,La Liga,64,40,23,36,5,23,38,60.5,15,20,6,14,49,113,50,0,Midfielder,92.8,25016,7823,94.8,94.2,83.0,4,2.2,2.1,22,159,11,0,142,2.03,51,27,+24,1.02,-0.02,46.3,25.3,+21.0,+0.89,-0.19,aurelien-tchouameni00,France,Defensive Midfield,right,188.0,90000000,80000000.0,Summer,17.155
707,Gamid Agalarov,Akhmat Grozny,22,00,9.8,3,19,9,47.4,1.94,0.92,0.16,0.33,,,0,1,,,,,,Premier Liga,,6,,,,,,,,,,,0,,,,Forward,,,,,,,1,,,,,,,,1.45,12,13,-1,-0.1,-0.75,,,,,,gamid-agalarov00,Russia,Centre-Forward,left,180.0,2500000,3500000.0,Summer,4.214
708,Zaim Divanović,Akhmat Grozny,21,00,2.2,0,5,1,20.0,2.31,0.46,0.00,0.00,,,0,0,,,,,,Premier Liga,,5,,,,,,,,,,,1,,,,Midfielder,,,,,,,1,,,,,,,,1.40,5,2,+3,1.38,+1.06,,,,,,zaim-divanovic00,,Central Midfield,right,179.0,250000,0.0,Winter,3.9819999999999998
709,Néné Gbamblé,Akhmat Grozny,20,02,2.4,1,5,2,40.0,2.10,0.84,0.20,0.50,,,0,0,,,,,,Premier Liga,,6,,,,,,,,,,,2,,,,Midfielder,,,,,,,0,,,,,,,,2.40,8,1,+7,2.94,+2.76,,,,,,nene-gbamble02,,Right Winger,right,173.0,300000,0.0,Winter,8.088
710,Vladimir Ilyin,Akhmat Grozny,30,92,11.0,4,27,11,40.7,2.46,1.00,0.15,0.36,,,0,0,,,,,,Premier Liga,,7,,,,,,,,,,,4,,,,Midfielder,,,,,,,0,,,,,,,,1.59,17,19,-2,-0.18,-0.92,,,,,,vladimir-ilyin92,Russia,Centre-Forward,right,187.0,800000,0.0,Summer,2.75
711,Vladislav Kamilov,Akhmat Grozny,26,95,13.2,2,14,5,35.7,1.06,0.38,0.14,0.40,,,0,0,,,,,,Premier Liga,,21,,,,,,,,,,,13,,,,Midfielder,,,,,,,1,,,,,,,,1.95,28,12,+16,1.21,+1.45,,,,,,vladislav-kamilov95,Russia,Central Midfield,both,176.0,800000,750000.0,Summer,21.647999999999996
712,Minkail Matsuev,Akhmat Grozny,22,00,0.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Premier Liga,,2,,,,,,,,,,,0,,,,Midfielder,,,,,,,0,,,,,,,,3.00,0,0,0,0.0,-0.40,,,,,,minkail-matsuev00,,Central Midfield,right,170.0,50000,0.0,Winter,0.0
713,Ivan Oleinikov,Akhmat Grozny,23,98,16.1,2,42,13,31.0,2.61,0.81,0.05,0.15,,,0,0,,,,,,Premier Liga,,23,,,,,,,,,,,11,,,,Midfielder,,,,,,,6,,,,,,,,1.54,23,19,+4,0.25,-0.33,,,,,,ivan-oleinikov98,Russia,Right Winger,right,178.0,1200000,0.0,Summer,10.948000000000002
714,Miloš Šatara,Akhmat Grozny,26,95,5.1,0,4,1,25.0,0.78,0.20,0.00,0.00,,,0,0,,,,,,Premier Liga,,6,,,,,,,,,,,7,,,,Defender,,,,,,,0,,,,,,,,1.83,6,2,+4,0.78,+0.46,,,,,,milos-satara95,Bosnia-Herzegovina,Centre-Back,right,190.0,800000,0.0,Winter,3.468
715,Darko Todorović,Akhmat Grozny,25,97,11.6,1,13,3,23.1,1.12,0.26,0.08,0.33,,,0,0,,,,,,Premier Liga,,15,,,,,,,,,,,28,,,,Defender,,,,,,,4,,,,,,,,1.50,24,16,+8,0.69,+0.47,,,,,,darko-todorovic97,Bosnia-Herzegovina,Right-Back,right,174.0,900000,400000.0,Summer,6.843999999999999
716,Ilya Agapov,CSKA Moscow,21,01,1.0,0,1,0,0.0,1.00,0.00,0.00,,,,0,0,,,,,,Premier Liga,,3,,,,,,,,,,,3,,,,Defender,,,,,,,0,,,,,,,,3.00,2,0,+2,2.0,+1.07,,,,,,ilya-agapov01,Russia,Centre-Back,left,192.0,1000000,1300000.0,Winter,2.03
717,Jorge Carrascal,CSKA Moscow,24,98,17.0,6,59,18,30.5,3.48,1.06,0.07,0.22,,,2,2,,,,,,Premier Liga,,21,,,,,,,,,,,9,,,,Forward,,,,,,,2,,,,,,,,1.85,27,22,+5,0.29,-1.54,,,,,,jorge-carrascal98,Colombia,Attacking Midfield,right,180.0,8000000,6000000.0,Summer,12.240000000000002
718,Nikita Ermakov,CSKA Moscow,19,03,5.0,0,4,0,0.0,0.80,0.00,0.00,,,,0,0,,,,,,Premier Liga,,15,,,,,,,,,,,7,,,,Midfielder,,,,,,,0,,,,,,,,2.00,7,6,+1,0.2,-0.92,,,,,,nikita-ermakov03,Russia,Attacking Midfield,right,182.0,700000,0.0,Summer,3.3000000000000007
719,Milan Gajić,CSKA Moscow,26,96,26.0,0,33,8,24.2,1.27,0.31,0.00,0.00,,,0,0,,,,,,Premier Liga,,16,,,,,,,,,,,20,,,,Midfielder,,,,,,,2,,,,,,,,1.90,48,20,+28,1.08,+0.83,,,,,,milan-gajic96,Croatia,Right-Back,both,178.0,3500000,0.0,Summer,40.040000000000006
720,Moisés,CSKA Moscow,27,95,22.6,0,19,4,21.1,0.84,0.18,0.00,0.00,,,0,0,,,,,,Premier Liga,,25,,,,,,,,,,,13,,,,Defender,,,,,,,2,,,,,,,,1.83,43,23,+20,0.89,-0.32,,,,,,moises95,Brazil,Left-Back,left,183.0,3000000,1000000.0,Summer,20.792
721,Saša Zdjelar,CSKA Moscow,27,95,21.8,0,7,3,42.9,0.32,0.14,0.00,0.00,,,0,0,,,,,,Premier Liga,,34,,,,,,,,,,,17,,,,Midfielder,,,,,,,1,,,,,,,,1.81,39,21,+18,0.83,-0.52,,,,,,sasa-zdjelar95,Yugoslavia (Republic),Defensive Midfield,right,183.0,3500000,500000.0,Summer,28.122000000000003
722,Ilzat Akhmetov,Krasnodar,24,97,11.4,2,16,6,37.5,1.40,0.52,0.13,0.33,,,0,0,,,,,,Premier Liga,,11,,,,,,,,,,,11,,,,Forward,,,,,,,5,,,,,,,,1.63,23,21,+2,0.17,-0.58,,,,,,ilzat-akhmetov97,Kyrgyzstan,Attacking Midfield,right,173.0,3000000,0.0,Summer,9.917999999999997
723,Júnior Alonso,Krasnodar,29,93,12.0,1,4,1,25.0,0.33,0.08,0.25,1.00,,,0,0,,,,,,Premier Liga,,11,,,,,,,,,,,15,,,,Defender,,,,,,,0,,,,,,,,1.83,31,17,+14,1.17,+1.06,,,,,,junior-alonso93,Paraguay,Centre-Back,left,185.0,7000000,0.0,Winter,8.52
724,Mihajlo Banjac,Krasnodar,22,99,17.6,3,28,7,25.0,1.59,0.40,0.07,0.29,,,1,1,,,,,,Premier Liga,,29,,,,,,,,,,,8,,,,Midfielder,,,,,,,3,,,,,,,,1.74,40,27,+13,0.74,+0.50,,,,,,mihajlo-banjac99,Yugoslavia (Republic),Central Midfield,left,186.0,2000000,1600000.0,Summer,17.247999999999998
725,Kady Borges,Krasnodar,26,96,5.0,3,11,7,63.6,2.20,1.40,0.27,0.43,,,0,0,,,,,,Premier Liga,,4,,,,,,,,,,,3,,,,Midfielder,,,,,,,1,,,,,,,,1.86,16,6,+10,2.0,+1.76,,,,,,kady-borges96,Brazil,Attacking Midfield,left,173.0,3000000,2000000.0,Winter,11.2
726,Moses David Cobnan,Krasnodar,19,02,5.3,0,15,4,26.7,2.81,0.75,0.00,0.00,,,0,0,,,,,,Premier Liga,,6,,,,,,,,,,,5,,,,Forward,,,,,,,0,,,,,,,,1.70,11,6,+5,0.94,+0.49,,,,,,moses-david-cobnan02,,Right Winger,,178.0,1000000,1000000.0,Winter,8.691999999999998
727,Jonathan Okoronkwo,Krasnodar,18,03,0.1,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Premier Liga,,0,,,,,,,,,,,0,,,,Forward,,,,,,,0,,,,,,,,1.00,0,0,0,0.0,-0.54,,,,,,jonathan-okoronkwo03,Nigeria,Centre-Forward,right,175.0,300000,400000.0,Summer,0.06999999999999998
728,Olakunle Olusegun,Krasnodar,20,02,17.9,5,33,16,48.5,1.84,0.89,0.15,0.31,,,0,0,,,,,,Premier Liga,,16,,,,,,,,,,,15,,,,Forward,,,,,,,2,,,,,,,,1.58,36,27,+9,0.5,-0.07,,,,,,olakunle-olusegun02,Nigeria,Left Winger,right,167.0,1700000,1200000.0,Summer,21.479999999999993
729,Viktor Aleksandrov,Nizhny Novgorod,20,02,14.2,2,7,3,42.9,0.49,0.21,0.29,0.67,,,0,0,,,,,,Premier Liga,,17,,,,,,,,,,,25,,,,Defender,,,,,,,0,,,,,,,,1.18,18,18,0,0.0,+1.08,,,,,,viktor-aleksandrov02,Russia,Centre-Back,right,187.0,600000,0.0,Winter,-5.680000000000001
730,Denis Glushakov,Nizhny Novgorod,35,87,4.1,1,5,1,20.0,1.23,0.25,0.00,0.00,,,1,1,,,,,,Premier Liga,,3,,,,,,,,,,,3,,,,Midfielder,,,,,,,0,,,,,,,,0.14,3,10,-7,-1.73,-1.34,,,,,,denis-glushakov87,UdSSR,Central Midfield,right,181.0,700000,0.0,Winter,-7.503
731,Daniil Kornyushin,Nizhny Novgorod,20,01,10.1,0,5,1,20.0,0.49,0.10,0.00,0.00,,,0,0,,,,,,Premier Liga,,7,,,,,,,,,,,14,,,,Midfielder,,,,,,,0,,,,,,,,0.57,8,20,-12,-1.19,-0.94,,,,,,daniil-kornyushin01,Russia,Right-Back,right,184.0,500000,0.0,Summer,-13.029000000000002
732,Vyacheslav Krotov,Nizhny Novgorod,29,93,13.5,2,14,4,28.6,1.03,0.30,0.14,0.50,,,0,0,,,,,,Premier Liga,,16,,,,,,,,,,,16,,,,Forward,,,,,,,1,,,,,,,,1.26,21,23,-2,-0.15,+0.76,,,,,,vyacheslav-krotov93,Russia,Centre-Forward,right,183.0,500000,0.0,Summer,2.0249999999999986
733,Mamadou Maiga,Nizhny Novgorod,27,95,18.5,1,12,4,33.3,0.65,0.22,0.08,0.25,,,0,0,,,,,,Premier Liga,,40,,,,,,,,,,,32,,,,Midfielder,,,,,,,0,,,,,,,,1.32,23,24,-1,-0.05,+1.34,,,,,,mamadou-maiga95,Mali,Defensive Midfield,,178.0,900000,250000.0,Summer,-2.7750000000000035
734,Edgar Sevikyan,Nizhny Novgorod,20,01,4.6,0,9,6,66.7,1.96,1.30,0.00,0.00,,,0,0,,,,,,Premier Liga,,6,,,,,,,,,,,1,,,,Forward,,,,,,,0,,,,,,,,0.90,3,4,-1,-0.22,+0.41,,,,,,edgar-sevikyan01,Russia,Right Winger,left,175.0,400000,0.0,Summer,0.3679999999999994
735,Konstantin Shiltsov,Nizhny Novgorod,20,02,2.6,0,4,1,25.0,1.54,0.38,0.00,0.00,,,0,0,,,,,,Premier Liga,,2,,,,,,,,,,,4,,,,Midfielder,,,,,,,1,,,,,,,,1.00,3,8,-5,-1.92,-1.49,,,,,,konstantin-shiltsov02,Russia,Attacking Midfield,right,183.0,500000,0.0,Summer,-5.252000000000001
736,Artem Sokolov,Nizhny Novgorod,19,03,3.3,0,5,2,40.0,1.53,0.61,0.00,0.00,,,0,0,,,,,,Premier Liga,,3,,,,,,,,,,,1,,,,Midfielder,,,,,,,0,,,,,,,,0.67,2,2,0,0.0,+0.64,,,,,,artem-sokolov03,Russia,Attacking Midfield,both,172.0,800000,0.0,Winter,-0.3300000000000006
737,Vladislav Yakovlev,Nizhny Novgorod,20,02,3.6,1,10,4,40.0,2.79,1.11,0.10,0.25,,,0,0,,,,,,Premier Liga,,5,,,,,,,,,,,0,,,,Forward,,,,,,,1,,,,,,,,0.91,4,7,-3,-0.84,-0.31,,,,,,vladislav-yakovlev02,,Centre-Forward,both,187.0,500000,0.0,Winter,-1.9440000000000002
738,Momo Yansané,Nizhny Novgorod,25,97,5.6,0,11,4,36.4,1.95,0.71,0.00,0.00,,,0,0,,,,,,Premier Liga,,7,,,,,,,,,,,4,,,,Forward,,,,,,,0,,,,,,,,0.69,3,10,-7,-1.24,-0.83,,,,,,momo-yansane97,Guinea,Centre-Forward,right,183.0,800000,0.0,Summer,-5.264
739,Ilya Zhigulyov,Nizhny Novgorod,26,96,3.8,0,5,0,0.0,1.33,0.00,0.00,,,,0,0,,,,,,Premier Liga,,9,,,,,,,,,,,12,,,,Midfielder,,,,,,,0,,,,,,,,1.67,4,4,0,0.0,+0.65,,,,,,ilya-zhigulyov96,Russia,Central Midfield,right,172.0,600000,0.0,Summer,-0.3800000000000007
740,Nuraly Alip,Zenit,22,99,6.0,0,1,0,0.0,0.17,0.00,0.00,,,,0,0,,,,,,Premier Liga,,8,,,,,,,,,,,5,,,,Defender,,,,,,,0,,,,,,,,2.00,8,5,+3,0.5,-1.63,,,,,,nuraly-alip99,Kazakhstan,Centre-Back,left,188.0,1200000,2000000.0,Winter,4.379999999999999
741,Zelimkhan Bakayev,Zenit,26,96,3.5,1,14,5,35.7,3.97,1.42,0.00,0.00,,,1,1,,,,,,Premier Liga,,3,,,,,,,,,,,3,,,,Midfielder,,,,,,,0,,,,,,,,2.47,10,2,+8,2.27,+0.53,,,,,,zelimkhan-bakayev96,Russia,Right Winger,left,180.0,2700000,0.0,Summer,9.555
742,Mateo Cassierra,Zenit,25,97,16.4,2,47,15,31.9,2.86,0.91,0.04,0.13,,,0,0,,,,,,Premier Liga,,5,,,,,,,,,,,4,,,,Forward,,,,,,,6,,,,,,,,2.23,32,11,+21,1.28,-1.15,,,,,,mateo-cassierra97,Colombia,Centre-Forward,right,186.0,4000000,4500000.0,Summer,24.764
743,Gustavo Mantuan,Zenit,21,01,6.3,6,31,12,38.7,4.91,1.90,0.19,0.50,,,0,0,,,,,,Premier Liga,,7,,,,,,,,,,,1,,,,Midfielder,,,,,,,4,,,,,,,,2.36,18,5,+13,2.06,+0.33,,,,,,gustavo-mantuan01,Brazil,Left Winger,right,176.0,3000000,0.0,Summer,15.876
744,Robert Renan,Zenit,18,03,9.0,0,2,0,0.0,0.22,0.00,0.00,,,,0,0,,,,,,Premier Liga,,6,,,,,,,,,,,13,,,,Defender,,,,,,,0,,,,,,,,2.44,20,8,+12,1.34,-0.66,,,,,,robert-renan03,Brazil,Centre-Back,left,185.0,7000000,0.0,Winter,14.13
745,Rodrigão,Zenit,26,95,20.8,1,10,2,20.0,0.48,0.10,0.10,0.50,,,0,0,,,,,,Premier Liga,,25,,,,,,,,,,,20,,,,Defender,,,,,,,0,,,,,,,,2.59,55,11,+44,2.11,+1.03,,,,,,rodrigao95,Brazil,Centre-Back,right,191.0,4000000,3500000.0,Summer,48.672
746,Léo Andrade,FC Khimki,24,98,12.0,0,5,3,60.0,0.42,0.25,0.00,0.00,,,0,0,,,,,,Premier Liga,,22,,,,,,,,,,,22,,,,Defender,,,,,,,0,,,,,,,,0.50,9,29,-20,-1.67,-0.44,,,,,,leo-andrade98,Brazil,Centre-Back,left,191.0,600000,0.0,Winter,-28.44
747,Nikola Antić,FC Khimki,28,94,10.2,0,8,3,37.5,0.79,0.30,0.00,0.00,,,0,0,,,,,,Premier Liga,,6,,,,,,,,,,,2,,,,Midfielder,,,,,,,0,,,,,,,,0.55,6,19,-13,-1.28,+0.18,,,,,,nikola-antic94,Yugoslavia (Republic),Left-Back,left,178.0,1200000,0.0,Winter,-22.95
748,Janio Bikel,FC Khimki,27,95,8.5,0,3,1,33.3,0.35,0.12,0.00,0.00,,,0,0,,,,,,Premier Liga,,12,,,,,,,,,,,10,,,,Midfielder,,,,,,,1,,,,,,,,0.55,6,19,-13,-1.52,-0.17,,,,,,janio-bikel95,Guinea-Bissau,Central Midfield,right,174.0,1000000,0.0,Winter,-21.165000000000003
749,Artur Chyorny,FC Khimki,21,00,6.2,0,4,1,25.0,0.65,0.16,0.00,0.00,,,0,0,,,,,,Premier Liga,,7,,,,,,,,,,,19,,,,Defender,,,,,,,0,,,,,,,,0.64,5,10,-5,-0.81,+0.74,,,,,,artur-chyorny00,Russia,Centre-Back,right,184.0,350000,0.0,Summer,-9.362
750,Mory Gbane,FC Khimki,21,00,12.7,0,14,4,28.6,1.10,0.31,0.00,0.00,,,0,0,,,,,,Premier Liga,,20,,,,,,,,,,,35,,,,Midfielder,,,,,,,1,,,,,,,,0.68,15,23,-8,-0.63,+1.34,,,,,,mory-gbane00,Cote d'Ivoire,Defensive Midfield,right,188.0,800000,0.0,Summer,-20.32
751,Petar Golubović,FC Khimki,28,94,11.7,0,8,2,25.0,0.69,0.17,0.00,0.00,,,0,0,,,,,,Premier Liga,,11,,,,,,,,,,,22,,,,Defender,,,,,,,0,,,,,,,,0.50,9,29,-20,-1.71,-0.51,,,,,,petar-golubovic94,Yugoslavia (Republic),Right-Back,right,186.0,350000,0.0,Winter,-28.197
752,Marcos Guilherme,FC Khimki,26,95,4.8,1,9,5,55.6,1.87,1.04,0.11,0.20,,,0,0,,,,,,Premier Liga,,2,,,,,,,,,,,1,,,,Forward,,,,,,,0,,,,,,,,0.30,2,10,-8,-1.67,-0.32,,,,,,marcos-guilherme95,Brazil,Left Winger,right,173.0,1800000,0.0,Winter,-9.312
753,Lachezar Kotev,FC Khimki,24,98,1.1,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Premier Liga,,1,,,,,,,,,,,4,,,,Midfielder,,,,,,,0,,,,,,,,0.00,0,3,-3,-2.67,-1.32,,,,,,lachezar-kotev98,Bulgaria,Defensive Midfield,right,185.0,600000,0.0,Winter,-4.004
754,Stefan Melentijevic,FC Khimki,18,04,4.8,0,2,0,0.0,0.42,0.00,0.00,,,,0,0,,,,,,Premier Liga,,2,,,,,,,,,,,13,,,,Midfielder,,,,,,,0,,,,,,,,0.50,4,10,-6,-1.25,+0.18,,,,,,stefan-melentijevic04,Serbia and Montenegro,Centre-Back,right,189.0,150000,0.0,Winter,-10.655999999999999
755,Lev Skvortsov,FC Khimki,22,00,6.6,0,1,0,0.0,0.15,0.00,0.00,,,,0,0,,,,,,Premier Liga,,9,,,,,,,,,,,15,,,,Midfielder,,,,,,,0,,,,,,,,0.50,6,16,-10,-1.51,-0.14,,,,,,lev-skvortsov00,Kazakhstan,Right-Back,both,180.0,200000,0.0,Winter,-16.368
756,Sergey Babkin,Samara,19,02,6.6,1,6,2,33.3,0.90,0.30,0.17,0.50,,,0,0,,,,,,Premier Liga,,5,,,,,,,,,,,17,,,,Midfielder,,,,,,,0,,,,,,,,1.06,10,11,-1,-0.15,+0.36,,,,,,sergey-babkin02,Russia,Central Midfield,right,176.0,700000,0.0,Summer,-4.289999999999999
757,Aleksandar Ćirković,Samara,20,01,4.1,1,12,4,33.3,2.91,0.97,0.08,0.25,,,0,0,,,,,,Premier Liga,,3,,,,,,,,,,,2,,,,Midfielder,,,,,,,0,,,,,,,,0.92,4,6,-2,-0.49,-0.06,,,,,,aleksandar-cirkovic01,Yugoslavia (Republic),Left Winger,,180.0,600000,550000.0,Summer,-4.058999999999999
758,Ilya Gaponov,Samara,24,97,9.8,1,5,2,40.0,0.51,0.20,0.20,0.50,,,0,0,,,,,,Premier Liga,,6,,,,,,,,,,,10,,,,Defender,,,,,,,0,,,,,,,,1.19,10,18,-8,-0.81,-0.56,,,,,,ilya-gaponov97,Russia,Centre-Back,right,185.0,500000,281000.0,Summer,-10.878000000000002
759,Benjamín Garré,Samara,22,00,10.5,3,17,7,41.2,1.63,0.67,0.12,0.29,,,1,1,,,,,,Premier Liga,,7,,,,,,,,,,,5,,,,Midfielder,,,,,,,1,,,,,,,,0.92,10,11,-1,-0.1,+0.52,,,,,,benjamin-garre00,Argentina,Left Winger,left,172.0,2800000,1700000.0,Winter,-6.299999999999999
760,Vladimir Pisarskiy,Samara,26,96,8.0,0,21,8,38.1,2.63,1.00,0.00,0.00,,,0,0,,,,,,Premier Liga,,2,,,,,,,,,,,0,,,,Forward,,,,,,,1,,,,,,,,0.73,8,13,-5,-0.63,-0.26,,,,,,vladimir-pisarskiy96,Ukraine,Centre-Forward,right,188.0,2500000,1350000.0,Winter,-6.639999999999999
761,Amar Rahmanović,Samara,28,94,11.3,1,24,7,29.2,2.12,0.62,0.04,0.14,,,0,0,,,,,,Premier Liga,,14,,,,,,,,,,,4,,,,Forward,,,,,,,0,,,,,,,,0.94,9,17,-8,-0.71,-0.44,,,,,,amar-rahmanovic94,Germany,Attacking Midfield,left,192.0,2500000,750000.0,Summer,-10.283
762,Nikolai Rasskazov,Samara,24,98,7.5,1,5,2,40.0,0.66,0.27,0.20,0.50,,,0,0,,,,,,Premier Liga,,6,,,,,,,,,,,6,,,,Midfielder,,,,,,,0,,,,,,,,0.92,7,15,-8,-1.06,-0.84,,,,,,nikolai-rasskazov98,Russia,Right-Back,right,178.0,600000,0.0,Winter,-11.700000000000001
